 I    | PH(0 0), PH(0 1), PH(1 0), PH(1 1)  | PR(0 0), PR(0 1), PR(1 0), PR(1 1)  | AH(0), AH(1)  | AR(0), AR(1)
0|3.97028,0.04762,0.04762,0.0294848 | 9.21301,0.41714,0.41714,0.0310305 | 0.0762743,-0.00154629 | -2.38139,-0.171733
1|3.97006,0.047622,0.047622,0.0294829 | 9.21546,0.41728,0.41728,0.0310368 | 0.0759668,-0.00153816 | -2.38273,-0.171796
2|3.96984,0.0476239,0.0476239,0.029481 | 9.2179,0.417419,0.417419,0.0310431 | 0.0756592,-0.00153002 | -2.38406,-0.171859
3|3.96962,0.0476258,0.0476258,0.029479 | 9.22035,0.417558,0.417558,0.0310495 | 0.0753518,-0.00152188 | -2.38539,-0.171922
4|3.9694,0.0476278,0.0476278,0.0294771 | 9.22281,0.417697,0.417697,0.0310558 | 0.0750444,-0.00151373 | -2.38671,-0.171984
5|3.96918,0.0476297,0.0476297,0.0294752 | 9.22526,0.417837,0.417837,0.0310622 | 0.074737,-0.00150558 | -2.38804,-0.172046
6|3.96896,0.0476316,0.0476316,0.0294733 | 9.22771,0.417976,0.417976,0.0310685 | 0.0744297,-0.00149743 | -2.38936,-0.172108
7|3.96874,0.0476335,0.0476335,0.0294713 | 9.23017,0.418115,0.418115,0.0310749 | 0.0741224,-0.00148927 | -2.39068,-0.17217
8|3.96853,0.0476354,0.0476354,0.0294694 | 9.23262,0.418255,0.418255,0.0310812 | 0.0738152,-0.0014811 | -2.39199,-0.172232
9|3.96831,0.0476373,0.0476373,0.0294675 | 9.23508,0.418395,0.418395,0.0310876 | 0.0735081,-0.00147293 | -2.39331,-0.172294
10|3.96809,0.0476392,0.0476392,0.0294656 | 9.23754,0.418534,0.418534,0.0310939 | 0.073201,-0.00146476 | -2.39462,-0.172355
11|3.96787,0.0476411,0.0476411,0.0294636 | 9.24,0.418674,0.418674,0.0311003 | 0.0728939,-0.00145658 | -2.39593,-0.172416
12|3.96766,0.047643,0.047643,0.0294617 | 9.24246,0.418813,0.418813,0.0311067 | 0.0725869,-0.0014484 | -2.39724,-0.172477
13|3.96744,0.0476448,0.0476448,0.0294598 | 9.24492,0.418953,0.418953,0.031113 | 0.07228,-0.00144022 | -2.39855,-0.172538
14|3.96722,0.0476467,0.0476467,0.0294578 | 9.24739,0.419093,0.419093,0.0311194 | 0.0719732,-0.00143203 | -2.39985,-0.172599
15|3.96701,0.0476486,0.0476486,0.0294559 | 9.24985,0.419233,0.419233,0.0311258 | 0.0716664,-0.00142383 | -2.40115,-0.17266
16|3.96679,0.0476504,0.0476504,0.029454 | 9.25231,0.419373,0.419373,0.0311321 | 0.0713597,-0.00141564 | -2.40245,-0.17272
17|3.96658,0.0476523,0.0476523,0.029452 | 9.25478,0.419513,0.419513,0.0311385 | 0.071053,-0.00140743 | -2.40375,-0.17278
18|3.96636,0.0476541,0.0476541,0.0294501 | 9.25725,0.419653,0.419653,0.0311449 | 0.0707464,-0.00139923 | -2.40505,-0.17284
19|3.96615,0.047656,0.047656,0.0294482 | 9.25972,0.419793,0.419793,0.0311512 | 0.0704399,-0.00139102 | -2.40634,-0.1729
20|3.96593,0.0476578,0.0476578,0.0294463 | 9.26219,0.419933,0.419933,0.0311576 | 0.0701334,-0.00138281 | -2.40763,-0.17296
21|3.96572,0.0476597,0.0476597,0.0294443 | 9.26466,0.420073,0.420073,0.031164 | 0.0698271,-0.00137459 | -2.40892,-0.173019
22|3.9655,0.0476615,0.0476615,0.0294424 | 9.26713,0.420213,0.420213,0.0311704 | 0.0695208,-0.00136637 | -2.4102,-0.173079
23|3.96529,0.0476633,0.0476633,0.0294404 | 9.2696,0.420353,0.420353,0.0311768 | 0.0692146,-0.00135815 | -2.41149,-0.173138
24|3.96507,0.0476651,0.0476651,0.0294385 | 9.27208,0.420494,0.420494,0.0311832 | 0.0689084,-0.00134992 | -2.41277,-0.173197
25|3.96486,0.047667,0.047667,0.0294366 | 9.27455,0.420634,0.420634,0.0311895 | 0.0686024,-0.00134169 | -2.41405,-0.173256
26|3.96464,0.0476688,0.0476688,0.0294346 | 9.27703,0.420774,0.420774,0.0311959 | 0.0682964,-0.00133346 | -2.41532,-0.173314
27|3.96443,0.0476706,0.0476706,0.0294327 | 9.27951,0.420915,0.420915,0.0312023 | 0.0679905,-0.00132522 | -2.4166,-0.173373
28|3.96422,0.0476724,0.0476724,0.0294308 | 9.28199,0.421055,0.421055,0.0312087 | 0.0676847,-0.00131698 | -2.41787,-0.173431
29|3.964,0.0476742,0.0476742,0.0294288 | 9.28447,0.421196,0.421196,0.0312151 | 0.0673789,-0.00130874 | -2.41914,-0.173489
30|3.96379,0.047676,0.047676,0.0294269 | 9.28695,0.421336,0.421336,0.0312215 | 0.0670733,-0.00130049 | -2.42041,-0.173547
31|3.96358,0.0476778,0.0476778,0.0294249 | 9.28943,0.421477,0.421477,0.0312279 | 0.0667678,-0.00129224 | -2.42167,-0.173605
32|3.96337,0.0476795,0.0476795,0.029423 | 9.29191,0.421618,0.421618,0.0312343 | 0.0664623,-0.00128399 | -2.42293,-0.173662
33|3.96316,0.0476813,0.0476813,0.0294211 | 9.29439,0.421758,0.421758,0.0312407 | 0.0661569,-0.00127573 | -2.42419,-0.17372
34|3.96294,0.0476831,0.0476831,0.0294191 | 9.29688,0.421899,0.421899,0.0312471 | 0.0658516,-0.00126747 | -2.42545,-0.173777
35|3.96273,0.0476848,0.0476848,0.0294172 | 9.29937,0.42204,0.42204,0.0312535 | 0.0655465,-0.00125921 | -2.4267,-0.173834
36|3.96252,0.0476866,0.0476866,0.0294152 | 9.30185,0.422181,0.422181,0.0312599 | 0.0652414,-0.00125094 | -2.42796,-0.173891
37|3.96231,0.0476884,0.0476884,0.0294133 | 9.30434,0.422321,0.422321,0.0312663 | 0.0649364,-0.00124267 | -2.42921,-0.173948
38|3.9621,0.0476901,0.0476901,0.0294113 | 9.30683,0.422462,0.422462,0.0312728 | 0.0646315,-0.0012344 | -2.43046,-0.174004
